0:0:0:0:0:0:0:1 - - [27/May/2020:18:25:38 +0900] "POST /book/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:25:38 +0900] "GET /book/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:25:39 +0900] "GET /book/list.jsp HTTP/1.1" 200 6876
0:0:0:0:0:0:0:1 - - [27/May/2020:18:25:39 +0900] "GET /book/list.json?key=code&word=&page=1&perPage=10&order=code&desc=desc HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/May/2020:18:25:44 +0900] "GET /book/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2020:18:25:44 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3092
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:22 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:44 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:53 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:54 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:55 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:55 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:55 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:56 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:56 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:56 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:57 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:58 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:27:58 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:28:17 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:28:59 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:00 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:01 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:01 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:01 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:01 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:02 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:02 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
0:0:0:0:0:0:0:1 - - [27/May/2020:18:29:02 +0900] "GET /book/cart.jsp HTTP/1.1" 200 3183
